[0.064s] Invoking command in '/home/ostifede02/dr_ws/src/microros/build/micro_ros_setup': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/ostifede02/dr_ws/install/deltarobot:/home/ostifede02/dr_ws/install/deltarobot_description:/opt/ros/humble /usr/bin/cmake /home/ostifede02/dr_ws/src/microros/src/micro_ros_setup -DCMAKE_INSTALL_PREFIX=/home/ostifede02/dr_ws/src/microros/install/micro_ros_setup
[0.147s] -- The C compiler identification is GNU 11.4.0
[0.224s] -- The CXX compiler identification is GNU 11.4.0
[0.235s] -- Detecting C compiler ABI info
[0.294s] -- Detecting C compiler ABI info - done
[0.304s] -- Check for working C compiler: /usr/bin/cc - skipped
[0.305s] -- Detecting C compile features
[0.305s] -- Detecting C compile features - done
[0.309s] -- Detecting CXX compiler ABI info
[0.376s] -- Detecting CXX compiler ABI info - done
[0.389s] -- Check for working CXX compiler: /usr/bin/c++ - skipped
[0.390s] -- Detecting CXX compile features
[0.390s] -- Detecting CXX compile features - done
[0.401s] -- Found ament_cmake: 1.3.6 (/opt/ros/humble/share/ament_cmake/cmake)
[0.693s] -- Found Python3: /usr/bin/python3.10 (found version "3.10.12") found components: Interpreter 
[0.771s] -- Found ament_lint_auto: 0.12.9 (/opt/ros/humble/share/ament_lint_auto/cmake)
[0.837s] -- Added test 'copyright' to check source files copyright and LICENSE
[0.849s] -- Added test 'flake8' to check Python code syntax and style conventions
[0.851s] -- Added test 'lint_cmake' to check CMake code style
[0.852s] -- Added test 'pep257' to check Python code against some of the docstring style conventions in PEP 257
[0.858s] -- Added test 'xmllint' to check XML markup files
[0.859s] -- Configuring done
[0.862s] -- Generating done
[0.863s] -- Build files have been written to: /home/ostifede02/dr_ws/src/microros/build/micro_ros_setup
[0.867s] Invoked command in '/home/ostifede02/dr_ws/src/microros/build/micro_ros_setup' returned '0': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/ostifede02/dr_ws/install/deltarobot:/home/ostifede02/dr_ws/install/deltarobot_description:/opt/ros/humble /usr/bin/cmake /home/ostifede02/dr_ws/src/microros/src/micro_ros_setup -DCMAKE_INSTALL_PREFIX=/home/ostifede02/dr_ws/src/microros/install/micro_ros_setup
[0.869s] Invoking command in '/home/ostifede02/dr_ws/src/microros/build/micro_ros_setup': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/ostifede02/dr_ws/install/deltarobot:/home/ostifede02/dr_ws/install/deltarobot_description:/opt/ros/humble /usr/bin/cmake --build /home/ostifede02/dr_ws/src/microros/build/micro_ros_setup -- -j8 -l8
[0.884s] Invoked command in '/home/ostifede02/dr_ws/src/microros/build/micro_ros_setup' returned '0': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/ostifede02/dr_ws/install/deltarobot:/home/ostifede02/dr_ws/install/deltarobot_description:/opt/ros/humble /usr/bin/cmake --build /home/ostifede02/dr_ws/src/microros/build/micro_ros_setup -- -j8 -l8
[0.904s] Invoking command in '/home/ostifede02/dr_ws/src/microros/build/micro_ros_setup': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/ostifede02/dr_ws/install/deltarobot:/home/ostifede02/dr_ws/install/deltarobot_description:/opt/ros/humble /usr/bin/cmake --install /home/ostifede02/dr_ws/src/microros/build/micro_ros_setup
[0.906s] -- Install configuration: ""
[0.906s] -- Installing: /home/ostifede02/dr_ws/src/microros/install/micro_ros_setup/share/ament_index/resource_index/package_run_dependencies/micro_ros_setup
[0.907s] -- Installing: /home/ostifede02/dr_ws/src/microros/install/micro_ros_setup/share/ament_index/resource_index/parent_prefix_path/micro_ros_setup
[0.907s] -- Installing: /home/ostifede02/dr_ws/src/microros/install/micro_ros_setup/share/micro_ros_setup/environment/ament_prefix_path.sh
[0.907s] -- Installing: /home/ostifede02/dr_ws/src/microros/install/micro_ros_setup/share/micro_ros_setup/environment/ament_prefix_path.dsv
[0.907s] -- Installing: /home/ostifede02/dr_ws/src/microros/install/micro_ros_setup/share/micro_ros_setup/environment/path.sh
[0.907s] -- Installing: /home/ostifede02/dr_ws/src/microros/install/micro_ros_setup/share/micro_ros_setup/environment/path.dsv
[0.907s] -- Installing: /home/ostifede02/dr_ws/src/microros/install/micro_ros_setup/share/micro_ros_setup/local_setup.bash
[0.907s] -- Installing: /home/ostifede02/dr_ws/src/microros/install/micro_ros_setup/share/micro_ros_setup/local_setup.sh
[0.907s] -- Installing: /home/ostifede02/dr_ws/src/microros/install/micro_ros_setup/share/micro_ros_setup/local_setup.zsh
[0.907s] -- Installing: /home/ostifede02/dr_ws/src/microros/install/micro_ros_setup/share/micro_ros_setup/local_setup.dsv
[0.907s] -- Installing: /home/ostifede02/dr_ws/src/microros/install/micro_ros_setup/share/micro_ros_setup/package.dsv
[0.908s] -- Installing: /home/ostifede02/dr_ws/src/microros/install/micro_ros_setup/share/ament_index/resource_index/packages/micro_ros_setup
[0.908s] -- Installing: /home/ostifede02/dr_ws/src/microros/install/micro_ros_setup/share/micro_ros_setup/cmake/micro_ros_setupConfig.cmake
[0.908s] -- Installing: /home/ostifede02/dr_ws/src/microros/install/micro_ros_setup/share/micro_ros_setup/cmake/micro_ros_setupConfig-version.cmake
[0.908s] -- Installing: /home/ostifede02/dr_ws/src/microros/install/micro_ros_setup/share/micro_ros_setup/package.xml
[0.908s] -- Installing: /home/ostifede02/dr_ws/src/microros/install/micro_ros_setup/./config
[0.908s] -- Installing: /home/ostifede02/dr_ws/src/microros/install/micro_ros_setup/./config/android
[0.908s] -- Installing: /home/ostifede02/dr_ws/src/microros/install/micro_ros_setup/./config/android/generic
[0.908s] -- Installing: /home/ostifede02/dr_ws/src/microros/install/micro_ros_setup/./config/android/generic/client_uros_packages.repos
[0.908s] -- Installing: /home/ostifede02/dr_ws/src/microros/install/micro_ros_setup/./config/android/generic/create.sh
[0.908s] -- Installing: /home/ostifede02/dr_ws/src/microros/install/micro_ros_setup/./config/android/generic/flash.sh
[0.909s] -- Installing: /home/ostifede02/dr_ws/src/microros/install/micro_ros_setup/./config/android/generic/build.sh
[0.909s] -- Installing: /home/ostifede02/dr_ws/src/microros/install/micro_ros_setup/./config/android/generic/client-colcon.meta
[0.909s] -- Installing: /home/ostifede02/dr_ws/src/microros/install/micro_ros_setup/./config/android/generic/package.xml
[0.909s] -- Installing: /home/ostifede02/dr_ws/src/microros/install/micro_ros_setup/./config/android/dev_uros_packages.repos
[0.909s] -- Installing: /home/ostifede02/dr_ws/src/microros/install/micro_ros_setup/./config/android/dev_ros2_packages.txt
[0.909s] -- Installing: /home/ostifede02/dr_ws/src/microros/install/micro_ros_setup/./config/host
[0.909s] -- Installing: /home/ostifede02/dr_ws/src/microros/install/micro_ros_setup/./config/host/generic
[0.909s] -- Installing: /home/ostifede02/dr_ws/src/microros/install/micro_ros_setup/./config/host/generic/client-host-colcon.meta
[0.909s] -- Installing: /home/ostifede02/dr_ws/src/microros/install/micro_ros_setup/./config/host/generic/client_host_packages.repos
[0.909s] -- Installing: /home/ostifede02/dr_ws/src/microros/install/micro_ros_setup/./config/host/generic/create.sh
[0.909s] -- Installing: /home/ostifede02/dr_ws/src/microros/install/micro_ros_setup/./config/host/generic/flash.sh
[0.909s] -- Installing: /home/ostifede02/dr_ws/src/microros/install/micro_ros_setup/./config/host/generic/build.sh
[0.909s] -- Installing: /home/ostifede02/dr_ws/src/microros/install/micro_ros_setup/./config/host/generic/package.xml
[0.910s] -- Installing: /home/ostifede02/dr_ws/src/microros/install/micro_ros_setup/./config/host/dev_uros_packages.repos
[0.910s] -- Installing: /home/ostifede02/dr_ws/src/microros/install/micro_ros_setup/./config/host/client_ros2_packages.txt
[0.910s] -- Installing: /home/ostifede02/dr_ws/src/microros/install/micro_ros_setup/./config/host/dev_ros2_packages.txt
[0.910s] -- Installing: /home/ostifede02/dr_ws/src/microros/install/micro_ros_setup/./config/renesas_ra
[0.910s] -- Installing: /home/ostifede02/dr_ws/src/microros/install/micro_ros_setup/./config/renesas_ra/ra6m5
[0.910s] -- Installing: /home/ostifede02/dr_ws/src/microros/install/micro_ros_setup/./config/renesas_ra/ra6m5/configure.sh
[0.910s] -- Installing: /home/ostifede02/dr_ws/src/microros/install/micro_ros_setup/./config/renesas_ra/ra6m5/client_uros_packages.repos
[0.910s] -- Installing: /home/ostifede02/dr_ws/src/microros/install/micro_ros_setup/./config/renesas_ra/ra6m5/create.sh
[0.911s] -- Installing: /home/ostifede02/dr_ws/src/microros/install/micro_ros_setup/./config/renesas_ra/ra6m5/flash.sh
[0.911s] -- Installing: /home/ostifede02/dr_ws/src/microros/install/micro_ros_setup/./config/renesas_ra/ra6m5/build.sh
[0.911s] -- Installing: /home/ostifede02/dr_ws/src/microros/install/micro_ros_setup/./config/renesas_ra/ra6m5/client-colcon.meta
[0.911s] -- Installing: /home/ostifede02/dr_ws/src/microros/install/micro_ros_setup/./config/renesas_ra/ra6m5/board.repos
[0.911s] -- Installing: /home/ostifede02/dr_ws/src/microros/install/micro_ros_setup/./config/renesas_ra/list_apps.sh
[0.911s] -- Installing: /home/ostifede02/dr_ws/src/microros/install/micro_ros_setup/./config/renesas_ra/dev_uros_packages.repos
[0.911s] -- Installing: /home/ostifede02/dr_ws/src/microros/install/micro_ros_setup/./config/renesas_ra/dev_ros2_packages.txt
[0.911s] -- Installing: /home/ostifede02/dr_ws/src/microros/install/micro_ros_setup/./config/freertos
[0.912s] -- Installing: /home/ostifede02/dr_ws/src/microros/install/micro_ros_setup/./config/freertos/olimex-stm32-e407
[0.912s] -- Installing: /home/ostifede02/dr_ws/src/microros/install/micro_ros_setup/./config/freertos/olimex-stm32-e407/configure.sh
[0.912s] -- Installing: /home/ostifede02/dr_ws/src/microros/install/micro_ros_setup/./config/freertos/olimex-stm32-e407/client_uros_packages.repos
[0.912s] -- Installing: /home/ostifede02/dr_ws/src/microros/install/micro_ros_setup/./config/freertos/olimex-stm32-e407/create.sh
[0.912s] -- Installing: /home/ostifede02/dr_ws/src/microros/install/micro_ros_setup/./config/freertos/olimex-stm32-e407/flash.sh
[0.912s] -- Installing: /home/ostifede02/dr_ws/src/microros/install/micro_ros_setup/./config/freertos/olimex-stm32-e407/build.sh
[0.912s] -- Installing: /home/ostifede02/dr_ws/src/microros/install/micro_ros_setup/./config/freertos/olimex-stm32-e407/client-colcon.meta
[0.912s] -- Installing: /home/ostifede02/dr_ws/src/microros/install/micro_ros_setup/./config/freertos/olimex-stm32-e407/package.xml
[0.912s] -- Installing: /home/ostifede02/dr_ws/src/microros/install/micro_ros_setup/./config/freertos/olimex-stm32-e407/board.repos
[0.912s] -- Installing: /home/ostifede02/dr_ws/src/microros/install/micro_ros_setup/./config/freertos/list_apps.sh
[0.913s] -- Installing: /home/ostifede02/dr_ws/src/microros/install/micro_ros_setup/./config/freertos/nucleo_f446ze
[0.913s] -- Installing: /home/ostifede02/dr_ws/src/microros/install/micro_ros_setup/./config/freertos/nucleo_f446ze/configure.sh
[0.913s] -- Installing: /home/ostifede02/dr_ws/src/microros/install/micro_ros_setup/./config/freertos/nucleo_f446ze/client_uros_packages.repos
[0.913s] -- Installing: /home/ostifede02/dr_ws/src/microros/install/micro_ros_setup/./config/freertos/nucleo_f446ze/create.sh
[0.913s] -- Installing: /home/ostifede02/dr_ws/src/microros/install/micro_ros_setup/./config/freertos/nucleo_f446ze/flash.sh
[0.913s] -- Installing: /home/ostifede02/dr_ws/src/microros/install/micro_ros_setup/./config/freertos/nucleo_f446ze/build.sh
[0.913s] -- Installing: /home/ostifede02/dr_ws/src/microros/install/micro_ros_setup/./config/freertos/nucleo_f446ze/client-colcon.meta
[0.913s] -- Installing: /home/ostifede02/dr_ws/src/microros/install/micro_ros_setup/./config/freertos/nucleo_f446ze/package.xml
[0.913s] -- Installing: /home/ostifede02/dr_ws/src/microros/install/micro_ros_setup/./config/freertos/nucleo_f446ze/board.repos
[0.913s] -- Installing: /home/ostifede02/dr_ws/src/microros/install/micro_ros_setup/./config/freertos/nucleo_f767zi
